moyenAge;Population total;Population résidante permanente;Suisse;Homme;Femme;Titulaire d'une autorisation de séjour (B);Titulaire d'une autorisation d'établissement (C);Titulaire d'une autorisation de séjour avec activité lucrative (Ci);Personne admise à titre provisoire (F);Titulaire d'une autorisation de séjour de courte durée (L);Requérant d'asile (N);Diplomate, fonctionnaire international avec immunité diplomatique;Fonctionnaire international sans immunité diplomatique;Pas attribué;Population résidante non permanente;Id;Canton;Année
39.889237753141934;464364;460534;279309;224450;239914;54248;101357;567;1614;4250;1013;7361;14645;0;3830;51;Genève;2011
41.250631197370836;70897;70542;61600;34946;35951;2406;6240;0;153;257;155;0;2;84;355;52;Jura;2011
40.69692420361419;1421453;1408575;1057472;705530;715923;132450;209506;11;4218;13609;3516;205;12;454;12878;53;Zürich;2012
42.43659893007543;1001379;992617;853602;490074;511305;40185;89543;68;3104;8104;2857;2025;321;1570;8762;54;Bern / Berne;2012
40.25741894684887;389004;386082;320628;193146;195858;21347;41458;0;1331;2818;1070;1;0;351;2922;55;Luzern;2012
41.66030164660302;36135;35693;31938;18521;17614;1556;1894;0;76;554;97;0;0;20;442;56;Uri;2012
40.64637627530792;151336;149830;120856;77619;73717;8197;19497;0;401;1989;387;0;1;8;1506;57;Schwyz;2012
40.54220263834912;36538;36115;31131;18600;17938;2174;2524;0;102;493;112;0;0;2;423;58;Obwalden;2012
41.94995941364657;41886;41584;36398;21473;20413;2119;2757;0;87;415;109;0;1;0;302;59;Nidwalden;2012
41.7422271058612;40043;39369;30795;20458;19585;2425;5634;0;103;921;165;0;0;0;674;60;Glarus;2012
40.641600677535465;118075;116575;87120;59996;58079;11390;17261;0;337;1623;336;2;1;5;1500;61;Zug;2012
38.77629806056482;293900;291395;233105;146863;147037;20299;36053;2;769;2644;712;19;42;255;2505;62;Fribourg / Freiburg;2012
42.014774890730166;261051;259283;207443;129508;131543;10643;39722;2;741;1610;790;0;11;89;1768;63;Solothurn;2012
43.23335430428856;190740;187425;124497;92012;98728;22014;38547;23;373;3788;672;8;622;196;3315;64;Basel-Stadt;2012
43.041848532062886;277907;276537;220923;136154;141753;14374;39337;21;897;1254;772;1;280;48;1370;65;Basel-Landschaft;2012
42.723197946319644;78688;77955;59199;38892;39796;5504;12866;0;156;668;267;0;0;28;733;66;Schaffhausen;2012
41.81386345022709;53724;53438;45602;27084;26640;2121;5454;0;110;222;215;0;0;0;286;67;Appenzell Ausserrhoden;2012
40.1718374066101;15794;15717;14137;8103;7691;471;1063;0;20;46;56;0;0;1;77;68;Appenzell Innerrhoden;2012
40.32941543264342;490739;487060;377489;245107;245632;28035;78955;0;905;3910;1432;13;0;0;3679;69;St. Gallen;2012
42.03723562115427;202172;193920;160390;101693;100479;15475;15203;0;425;10140;523;0;0;16;8252;70;Graubünden / Grigioni / Grischun;2012
40.67218895763395;631803;627340;484088;316927;314876;36535;103883;3;1252;4430;1510;2;24;76;4463;71;Aargau;2012
40.44177324817123;258644;256213;197944;130149;128495;16524;40384;0;334;2773;667;0;0;18;2431;72;Thurgau;2012
43.476011187607575;343952;341652;250320;167259;176693;29444;60217;0;658;2046;802;26;0;439;2300;73;Ticino;2012
39.59221196360655;744090;734356;498089;364326;379764;90449;137830;98;2599;5547;2160;681;2150;4487;9734;74;Vaud;2012
40.99618668857249;329897;321732;252134;164431;165466;26297;39121;0;925;10401;884;4;3;128;8165;75;Valais / Wallis;2012
40.82796754983054;176147;174554;132652;86006;90141;12050;28882;1;425;1196;591;9;10;331;1593;76;Neuchâtel;2012
40.05475719593843;467208;463101;279417;226113;241095;54581;103551;626;1568;4337;1344;7267;14517;0;4107;77;Genève;2012
41.45013722415145;71416;70942;61722;35271;36145;2436;6467;0;162;332;194;0;2;101;474;78;Jura;2012
40.76474451869846;1438755;1425538;1064112;714625;724130;131350;219634;15;4063;15999;3049;202;14;317;13217;79;Zürich;2013
42.56632710231256;1008449;1001281;855740;493981;514468;41020;93601;74;3203;9131;2800;2109;317;454;7168;80;Bern / Berne;2013
40.42967336734486;393592;390349;323029;195670;197922;20880;43287;0;1374;3720;950;1;0;351;3243;81;Luzern;2013
41.82891698735569;36380;35865;31887;18742;17638;1664;1964;0;72;700;83;0;0;10;515;82;Uri;2013
40.88062112857545;152883;151396;121710;78476;74407;8049;20247;0;369;2088;410;0;1;9;1487;83;Schwyz;2013
