Infractions enregistrées par la police selon le Code pénal, le canton, le degré de réalisation et le degré d'élucidation;;;;;;
;;;;;;
Année;Canton;Degré de réalisation - Total Degré d'élucidation - Total;Degré de réalisation - Total Non élucidées;Degré de réalisation - Total Elucidées 
2015;Genève;58800;44834;13966 
2015;Jura;3608;2211;1397 
2016;Zürich;87754;57432;30322 
2016;Bern / Berne;54843;38034;16809 
2016;Luzern;18771;12101;6670 
2016;Uri;672;450;222 
2016;Schwyz;4203;2520;1683 
2016;Obwalden;1589;742;847 
2016;Nidwalden;1127;683;444 
2016;Glarus;1336;747;589 
2016;Zug;5404;3695;1709 
2016;Fribourg / Freiburg;13943;8395;5548 
2016;Solothurn;14133;8527;5606 
2016;Basel-Stadt;21118;13313;7805 
2016;Basel-Landschaft;11926;8681;3245 
2016;Schaffhausen;3680;1709;1971 
2016;Appenzell Ausserrhoden;1725;612;1113 
2016;Appenzell Innerrhoden;522;212;310 
2016;St. Gallen;17935;10446;7489 
2016;Graubünden / Grigioni / Grischun;6870;4046;2824 
2016;Aargau;32783;14051;18732 
2016;Thurgau;10322;5895;4427 
2016;Ticino;16856;9913;6943 
2016;Vaud;54548;39874;14674 
2016;Valais / Wallis;13686;8784;4902 
2016;Neuchâtel;13374;8065;5309 
2016;Genève;51938;38592;13346 
2016;Jura;3370;1971;1399 
